# Parameter type          : 'chebyshev'
# Order                   : 4
# Filter type        : 'highpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 25 Hz
# Ripple             : -3 dB
# Feedforward parameters : 5 (multiplied with inputs x)
# Feedback parameters : 5 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.0531101207092932)
#     + (x[n-  1] * -0.212440482837173)
#     + (x[n-  2] * 0.318660724255759)
#     + (x[n-  3] * -0.212440482837173)
#     + (x[n-  4] * 0.0531101207092932)
#
#     - (y[n-  1] * 1.09399195818562)
#     - (y[n-  2] * 1.41748060638455)
#     - (y[n-  3] * 0.881761572651391)
#     - (y[n-  4] * 0.408034855801154)
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
 53        0        -0.177169942066245      100       -0.0174263455037972    0.315          1.01887353859271          144.429910047641
 54        0        -0.114441097466554      100        -0.131867442970351     0.32          1.03452994080823          140.579621094583
 55        0         0.158757826291607      100         0.026890383321256    0.325          1.06313911495033          136.660420602241
 56        0        0.0807962230252317      100         0.107686606346488     0.33          1.09357437332617           132.62212593248
 57        0        -0.140225284280136      100       -0.0325386779336487    0.335          1.12770129204683          128.423237731016
 58        0       -0.0544123397497376      100       -0.0869510176833862     0.34          1.16440638177853          124.030412173949
 59        0         0.122271551666909      100        0.0353205339835225    0.345          1.20445339748858          119.419138943443
 60        0        0.0340419340857475      100        0.0693624680692699     0.35          1.23655458019323          114.575343337505
 61        0         -0.10536364141099      100       -0.0360011733417204    0.355          1.28418439435895          109.497553706901
 62        0        -0.018599029466343      100       -0.0546002028080633     0.36          1.31623715742626          104.199100987762
 63        0         0.089790182695837      100        0.0351899798877738    0.365          1.35378799379529          98.7096189693088
 64        0       0.00714934025781418      100        0.0423393201455879     0.37          1.38033887649566          93.0750209769591
 65        0       -0.0757052156616058      100        -0.033365895516018    0.375          1.39801980813165          87.3552933244393
 66        0       0.00110236556641264      100       -0.0322635299496053     0.38          1.40992135549013          81.6199468329505
 67        0        0.0631631581800446      100        0.0308996282304393    0.385          1.41220775396802          75.9416959482672
 68        0       -0.0068257989155914      100        0.0240738293148479     0.39           1.4053505402991          70.3895819721009
 69        0       -0.0521468394759618      100       -0.0280730101611139    0.395          1.39214432697861          65.0229816038864
 70        0        0.0105790113520341      100       -0.0174939988090798      0.4          1.27605878141284          59.8876168656321
 71        0        0.0425897373432184      100        0.0250957385341386    0.405          1.34762306755562          55.0139945629041
 72        0       -0.0128221305195743      100        0.0122736080145643     0.41          1.32004715957635          50.4180084084884
 73        0       -0.0343932566006096      100       -0.0221196485860454    0.415          1.29041698448645          46.1030121849101
 74        0        0.0139304683307975      100      -0.00818918025524783     0.42          1.25912054751272          42.0625848941599
 75        0        0.0274399185303516      100        0.0192507382751038    0.425          1.22929675597274           38.283358366549
 76        0       -0.0142066906958584      100       0.00504404757924536     0.43           1.2008842530962          34.7475160698226
 77        0       -0.0216032511494184      100       -0.0165592035701731    0.435          1.17335256550586          31.4347900267481
 78        0        0.0138919092170627      100      -0.00266729435311032     0.44          1.14523015240007          28.3239340130226
 79        0        0.0167550233012686      100        0.0140877289481582    0.445          1.12355645397044          25.3937336847624
 80        0       -0.0131756309542513      100      0.000912097993906924     0.45          1.09810788969748          22.6236459376079
 81        0       -0.0127703585318755      100       -0.0118582605379685    0.455          1.08198299153041          19.9941612632445
 82        0        0.0122045520214259      100      0.000346291483457331     0.46          1.06442799716663          17.4869700245429
 83        0       0.00953118534502986      100       0.00987747682848718    0.465          1.04905313900601          15.0849962700702
 84        0        -0.011090227820526      100      -0.00121275099203884     0.47          1.03551696657856          12.7723460497965
 85        0      -0.00692840391416987      100      -0.00814115490620871    0.475           1.0244886442872          10.5342032548149
 86        0       0.00991568541790002      100       0.00177453051169132     0.48          1.01364284831581          8.35669522962058
 87        0       0.00486307896066944      100       0.00663760947236075    0.485          1.00878857970499          6.22674249676963
 88        0      -0.00874106121300464      100      -0.00210345174064389     0.49          1.00390159006168           4.1319013415784
 89        0      -0.00324690951698388      100      -0.00535036125762776    0.495          1.00097469537352          2.06020416966745
 90        0       0.00760835622724076      100       0.00225799496961301      0.5      2.2614830343599e-012     8.02331843279586e-015
