# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'bandstop'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 41 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 1.54401353539219e-017)
#     + (x[n-  1] * -0.000323724918319279)
#     + (x[n-  2] * -0.0343130159130894)
#     + (x[n-  3] * -0.000138199200003488)
#     + (x[n-  4] * 0.0238574363521559)
#     + (x[n-  5] * 0.000506851606400738)
#     + (x[n-  6] * 0.027265641545321)
#     + (x[n-  7] * -0.000180722030774006)
#     + (x[n-  8] * -0.0514695238696341)
#     + (x[n-  9] * -0.000559161222551518)
#     + (x[n- 10] * -1.54401353539219e-017)
#     + (x[n- 11] * 0.000683419272007456)
#     + (x[n- 12] * 0.0772042858044511)
#     + (x[n- 13] * 0.000335626628580108)
#     + (x[n- 14] * -0.0636198302724157)
#     + (x[n- 15] * -0.00152055481920221)
#     + (x[n- 16] * -0.0954297454086236)
#     + (x[n- 17] * 0.000783128800020377)
#     + (x[n- 18] * 0.308817143217804)
#     + (x[n- 19] * 0.00615077344806658)
#     + (x[n- 20] * 0.603900341959611)
#     + (x[n- 21] * 0.00615077344806658)
#     + (x[n- 22] * 0.308817143217804)
#     + (x[n- 23] * 0.000783128800020377)
#     + (x[n- 24] * -0.0954297454086236)
#     + (x[n- 25] * -0.00152055481920221)
#     + (x[n- 26] * -0.0636198302724157)
#     + (x[n- 27] * 0.000335626628580108)
#     + (x[n- 28] * 0.0772042858044511)
#     + (x[n- 29] * 0.000683419272007456)
#     + (x[n- 30] * -1.54401353539219e-017)
#     + (x[n- 31] * -0.000559161222551518)
#     + (x[n- 32] * -0.0514695238696341)
#     + (x[n- 33] * -0.000180722030774006)
#     + (x[n- 34] * 0.027265641545321)
#     + (x[n- 35] * 0.000506851606400738)
#     + (x[n- 36] * 0.0238574363521559)
#     + (x[n- 37] * -0.000138199200003488)
#     + (x[n- 38] * -0.0343130159130894)
#     + (x[n- 39] * -0.000323724918319279)
#     + (x[n- 40] * 1.54401353539219e-017)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
 40        0     1.54401353539219e-015      100                       100     0.25        0.0359253705610765    -7.06855585224686e-014
 41        0                         0      100                       100    0.255         0.027381340730171                        36
 42        0                         0      100                       100     0.26       0.00488980632086795          71.9999999999999
 43        0                         0      100                       100    0.265        0.0231862005637248         -71.9999999999999
 44        0                         0      100                       100     0.27         0.046277411474357         -35.9999999999998
 45        0                         0      100                       100    0.275         0.055272012184389      2.0679758045361e-013
 46        0                         0      100                       100     0.28        0.0458262186759439          36.0000000000002
 47        0                         0      100                       100    0.285        0.0206051671001021          71.9999999999997
 48        0                         0      100                       100     0.29        0.0120511676569033         -72.0000000000005
 49        0                         0      100                       100    0.295        0.0398440360540898         -36.0000000000001
 50        0                         0      100                       100      0.3        0.0485465144940408    -7.98334717996474e-014
 51        0                         0      100                       100    0.305        0.0386988416005268          36.0000000000001
 52        0                         0      100                       100     0.31       0.00377971315001684          71.9999999999993
 53        0                         0      100                       100    0.315        0.0438610599878841         -72.0000000000003
 54        0                         0      100                       100     0.32        0.0870138003555633         -35.9999999999998
 55        0                         0      100                       100    0.325         0.105961678315713    -1.65088464303434e-013
 56        0                         0      100                       100     0.33        0.0820115434062838          36.0000000000002
 57        0                         0      100                       100    0.335       0.00428261566624092                        72
 58        0                         0      100                       100     0.34         0.127448961477643         -71.9999999999997
 59        0                         0      100                       100    0.345         0.303006137637908         -36.0000000000004
 60        0                         0      100                       100     0.35         0.501364585175484    -8.56412468479451e-014
 61        0                         0      100                       100    0.355         0.697630629046058          35.9999999999997
 62        0                         0      100                       100     0.36         0.865734623875417                        72
 63        0                         0      100                       100    0.365         0.992616107658151                       108
 64        0                         0      100                       100     0.37          1.06479840304394                       144
 65        0                         0      100                       100    0.375          1.08661426885582                       180
 66        0                         0      100                       100     0.38          1.06789220233878                      -144
 67        0                         0      100                       100    0.385          1.03241403555145                      -108
 68        0                         0      100                       100     0.39         0.991968221313253         -72.0000000000002
 69        0                         0      100                       100    0.395         0.962969503297572         -35.9999999999998
 70        0                         0      100                       100      0.4         0.906284982912745    -1.63546211513411e-013
 71        0                         0      100                       100    0.405         0.961754774394941          36.0000000000002
 72        0                         0      100                       100     0.41         0.983202796004717          71.9999999999995
 73        0                         0      100                       100    0.415           1.0078054444467                       108
 74        0                         0      100                       100     0.42          1.02438433120536                       144
