# Parameter type          : 'brickwall'
# Order                   : 40
# Filter type        : 'bandpass'
# Sampling frequency : 100 Hz
# Cutoff 1           : 15 Hz
# Cutoff 2           : 35 Hz
# Feedforward parameters : 81 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * -3.32003709803934e-034)
#     + (x[n-  1] * -5.49706885668537e-019)
#     + (x[n-  2] * -0.000191134336026755)
#     + (x[n-  3] * -1.63980989920446e-021)
#     + (x[n-  4] * 0.000131113708612082)
#     + (x[n-  5] * -7.51584549678385e-020)
#     + (x[n-  6] * 0.000154425017644942)
#     + (x[n-  7] * 5.62357501887194e-020)
#     + (x[n-  8] * -0.00028334181873875)
#     + (x[n-  9] * 6.90607117480376e-019)
#     + (x[n- 10] * -1.18110326254182e-005)
#     + (x[n- 11] * 1.09894947644552e-019)
#     + (x[n- 12] * 0.000431206613713232)
#     + (x[n- 13] * -1.3357817176733e-018)
#     + (x[n- 14] * -0.000310887107121899)
#     + (x[n- 15] * 6.86261288209855e-019)
#     + (x[n- 16] * -0.000584127896703116)
#     + (x[n- 17] * 1.14770453720528e-018)
#     + (x[n- 18] * 0.00134857772276562)
#     + (x[n- 19] * 5.57637810341474e-018)
#     + (x[n- 20] * 0.00279485698526968)
#     + (x[n- 21] * 0.000437905142986627)
#     + (x[n- 22] * 0.0357209924296655)
#     + (x[n- 23] * 0.000186943102039784)
#     + (x[n- 24] * -0.0245665607625744)
#     + (x[n- 25] * -0.000685621997609093)
#     + (x[n- 26] * -0.0276520691046775)
#     + (x[n- 27] * 0.00024446405651372)
#     + (x[n- 28] * 0.0521152449180921)
#     + (x[n- 29] * 0.000756381610613256)
#     + (x[n- 30] * -3.54330978762457e-005)
#     + (x[n- 31] * -0.000924466412971808)
#     + (x[n- 32] * -0.0777970115040969)
#     + (x[n- 33] * -0.000454004676382475)
#     + (x[n- 34] * 0.0640493922133739)
#     + (x[n- 35] * 0.00205686599282726)
#     + (x[n- 36] * 0.0959414990475876)
#     + (x[n- 37] * -0.00105934424489257)
#     + (x[n- 38] * -0.310286129301076)
#     + (x[n- 39] * -0.00832019771674582)
#     + (x[n- 40] * 0.393584544896827)
#     + (x[n- 41] * -0.00832019771674582)
#     + (x[n- 42] * -0.310286129301076)
#     + (x[n- 43] * -0.00105934424489257)
#     + (x[n- 44] * 0.0959414990475876)
#     + (x[n- 45] * 0.00205686599282728)
#     + (x[n- 46] * 0.0640493922133739)
#     + (x[n- 47] * -0.000454004676382473)
#     + (x[n- 48] * -0.0777970115040969)
#     + (x[n- 49] * -0.000924466412971812)
#     + (x[n- 50] * -3.54330978762458e-005)
#     + (x[n- 51] * 0.000756381610613256)
#     + (x[n- 52] * 0.0521152449180921)
#     + (x[n- 53] * 0.000244464056513721)
#     + (x[n- 54] * -0.0276520691046775)
#     + (x[n- 55] * -0.000685621997609092)
#     + (x[n- 56] * -0.0245665607625744)
#     + (x[n- 57] * 0.000186943102039783)
#     + (x[n- 58] * 0.0357209924296655)
#     + (x[n- 59] * 0.000437905142986628)
#     + (x[n- 60] * 0.00279485698526968)
#     + (x[n- 61] * 5.73541446227587e-018)
#     + (x[n- 62] * 0.00134857772276562)
#     + (x[n- 63] * 1.15788327904336e-018)
#     + (x[n- 64] * -0.000584127896703116)
#     + (x[n- 65] * 6.89071343495372e-019)
#     + (x[n- 66] * -0.000310887107121899)
#     + (x[n- 67] * -1.34690800220678e-018)
#     + (x[n- 68] * 0.000431206613713232)
#     + (x[n- 69] * -2.59990065151377e-020)
#     + (x[n- 70] * -1.18110326254181e-005)
#     + (x[n- 71] * 7.45143950378442e-019)
#     + (x[n- 72] * -0.00028334181873875)
#     + (x[n- 73] * 4.34617888752647e-020)
#     + (x[n- 74] * 0.000154425017644942)
#     + (x[n- 75] * -1.48375284895378e-019)
#     + (x[n- 76] * 0.000131113708612082)
#     + (x[n- 77] * 1.09136761769701e-020)
#     + (x[n- 78] * -0.000191134336026755)
#     + (x[n- 79] * -5.49706885668537e-019)
#     + (x[n- 80] * -3.32003709803934e-034)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
 40        0          39.3584544896827      100          19.6792272448413     0.25         0.964378456671064    -1.40772370821074e-013
 41        0        -0.832019771674582      100          18.8472074731668    0.255         0.972786373792243                        72
 42        0         -31.0286129301076      100         -12.1814054569408     0.26         0.993115569529307                       144
 43        0        -0.105934424489257      100         -12.2873398814301    0.265          1.02327233016614                      -144
 44        0          9.59414990475876      100         -2.69318997667133     0.27          1.04673271306703         -71.9999999999997
 45        0         0.205686599282728      100          -2.4875033773886    0.275          1.05593696615173     3.97593067968137e-013
 46        0          6.40493922133739      100          3.91743584394879     0.28          1.04430550826473          72.0000000000005
 47        0       -0.0454004676382473      100          3.87203537631054    0.285           1.0206926642265                       144
 48        0         -7.77970115040969      100         -3.90766577409915     0.29         0.987981107010406                      -144
 49        0       -0.0924466412971812      100         -4.00011241539633    0.295         0.960487377546321         -72.0000000000002
 50        0      -0.00354330978762458      100         -4.00365572518395      0.3         0.903018629069235    -2.51231300041932e-013
 51        0        0.0756381610613256      100         -3.92801756412263    0.305         0.961620887453721                        72
 52        0          5.21152449180921      100          1.28350692768659     0.31         0.996214771606327                       144
 53        0        0.0244464056513721      100          1.30795333333796    0.315          1.04400450078528                      -144
 54        0         -2.76520691046775      100         -1.45725357712979     0.32          1.08582529731593         -71.9999999999998
 55        0       -0.0685621997609092      100          -1.5258157768907    0.325          1.10714582459154    -2.24074606654298e-013
 56        0         -2.45665607625744      100         -3.98247185314814     0.33           1.0827503373758          72.0000000000004
 57        0        0.0186943102039783      100         -3.96377754294416    0.335          1.00428306703426                       144
 58        0          3.57209924296655      100        -0.391678299977612     0.34         0.870978168790598         -143.999999999999
 59        0        0.0437905142986628      100        -0.347887785678949    0.345         0.699660781793925         -72.0000000000007
 60        0         0.279485698526968      100       -0.0684020871519811     0.35         0.504155795972884    -2.83890340663061e-013
 61        0     5.73541446227587e-016      100       -0.0684020871519805    0.355         0.308658827428494          71.9999999999994
 62        0         0.134857772276562      100        0.0664556851245817     0.36         0.135448684806006                       144
 63        0     1.15788327904336e-016      100        0.0664556851245818    0.365       0.00442023615505167                      -144
 64        0       -0.0584127896703116      100       0.00804289545427022     0.37        0.0736517578982673                       108
 65        0     6.89071343495372e-017      100       0.00804289545427029    0.375        0.0978387445017972                       180
 66        0       -0.0310887107121899      100       -0.0230458152579196     0.38        0.0787925301032863         -108.000000000001
 67        0    -1.34690800220678e-016      100       -0.0230458152579198    0.385          0.03582422399646         -35.9999999999997
 68        0        0.0431206613713232      100        0.0200748461134034     0.39        0.0108007909209441                      -144
 69        0    -2.59990065151377e-018      100        0.0200748461134034    0.395        0.0443466098632775         -71.9999999999997
 70        0      -0.00118110326254181      100        0.0188937428508616      0.4        0.0532879542039597    -3.37041801406022e-013
 71        0     7.45143950378442e-017      100        0.0188937428508617    0.405        0.0455821541845387          72.0000000000004
 72        0        -0.028334181873875      100      -0.00944043902301329     0.41        0.0197621642534638          143.999999999999
 73        0     4.34617888752647e-018      100      -0.00944043902301329    0.415        0.0105104126047508          35.9999999999999
 74        0        0.0154425017644942      100       0.00600206274148096     0.42         0.033827495400745          107.999999999999
 75        0    -1.48375284895378e-017      100       0.00600206274148094    0.425        0.0424745822241439                       180
 76        0        0.0131113708612082      100        0.0191134336026892     0.43        0.0344096757186516         -108.000000000001
 77        0     1.09136761769701e-018      100        0.0191134336026892    0.435        0.0141712972506288                       -36
 78        0       -0.0191134336026755      100     1.36349265211777e-014     0.44       0.00969978129627546         -144.000000000001
 79        0    -5.49706885668537e-017      100     1.35799558326108e-014    0.445        0.0282418776276072         -71.9999999999999
 80        0    -3.32003709803934e-032      100     1.35799558326108e-014     0.45        0.0350871374135945    -1.61465523950317e-013
 81        0                         0      100     1.35799558326108e-014    0.455        0.0284817967685944          72.0000000000003
 82        0                         0      100     1.35799558326108e-014     0.46        0.0114138664364361                       144
 83        0                         0      100     1.35799558326108e-014    0.465       0.00942019234008554          36.0000000000006
 84        0                         0      100     1.35799558326108e-014     0.47        0.0261665687750468          107.999999999999
 85        0                         0      100     1.35799558326108e-014    0.475        0.0325153037965044                       180
 86        0                         0      100     1.35799558326108e-014     0.48        0.0262166448465229         -108.000000000001
 87        0                         0      100     1.35799558326108e-014    0.485        0.0101411107746903                       -36
 88        0                         0      100     1.35799558326108e-014     0.49       0.00947199448693481         -144.000000000001
 89        0                         0      100     1.35799558326108e-014    0.495        0.0251172254089652         -71.9999999999999
 90        0                         0      100     1.35799558326108e-014      0.5     9.28657729186444e-013    -2.80659102555706e-013
