# Parameter type          : 'moving-average'
# Order                   : 15
# Filter type        : 'lowpass'
# Feedforward parameters : 16 (multiplied with inputs x)
# Feedback parameters : 1 (multiplied with outputs y)
# Gain: 1
# Recurrence relation:
# y[n] = 
#     + (x[n-  0] * 0.0625)
#     + (x[n-  1] * 0.0625)
#     + (x[n-  2] * 0.0625)
#     + (x[n-  3] * 0.0625)
#     + (x[n-  4] * 0.0625)
#     + (x[n-  5] * 0.0625)
#     + (x[n-  6] * 0.0625)
#     + (x[n-  7] * 0.0625)
#     + (x[n-  8] * 0.0625)
#     + (x[n-  9] * 0.0625)
#     + (x[n- 10] * 0.0625)
#     + (x[n- 11] * 0.0625)
#     + (x[n- 12] * 0.0625)
#     + (x[n- 13] * 0.0625)
#     + (x[n- 14] * 0.0625)
#     + (x[n- 15] * 0.0625)
#
#cycle    input(impulse)    output(impulse)    input(step)    output(step)    frequency/sampling_frequency    gain    phase(degree)
 74        0                         0      100                       100     0.42        0.0497190944528935          53.9999999999998
 75        0                         0      100                       100    0.425        0.0376639907196169          67.4999999999999
 76        0                         0      100                       100     0.43        0.0235639272600824          80.9999999999999
 77        0                         0      100                       100    0.435       0.00799854806804356                      94.5
 78        0                         0      100                       100     0.44       0.00795884280328224         -72.0000000000002
 79        0                         0      100                       100    0.445        0.0233526833206964         -58.4999999999999
 80        0                         0      100                       100     0.45        0.0367365782686801                       -45
 81        0                         0      100                       100    0.455        0.0486363495247948         -31.4999999999999
 82        0                         0      100                       100     0.46        0.0570011619668905                       -18
 83        0                         0      100                       100    0.465        0.0617583406446043         -4.49999999999989
 84        0                         0      100                       100     0.47        0.0626238181269255          8.99999999999983
 85        0                         0      100                       100    0.475        0.0594410322685726                      22.5
 86        0                         0      100                       100     0.48        0.0527704953441788          35.9999999999999
 87        0                         0      100                       100    0.485        0.0428264586649415                      49.5
 88        0                         0      100                       100     0.49        0.0301096046315784          62.9999999999999
 89        0                         0      100                       100    0.495        0.0155431179487301          76.5000000000001
 90        0                         0      100                       100      0.5     3.92513631189764e-013                        90
